P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(0, 18)","(-12, 60)","(-31, 84)","(63, 90)","(78, -79)","(0.0, 120.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -8)","(20, -26)",2964
"(0, 19)","(-12, 61)","(-31, 85)","(78, -78)","(63, 91)","(0.0, 121.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -7)","(20, -26)",3000
"(0, 20)","(-12, 62)","(-31, 86)","(78, -77)","(63, 92)","(0.0, -121.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -6)","(20, -26)",3036
"(0, 21)","(-12, 63)","(-31, 87)","(78, -76)","(63, 93)","(0.0, -120.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -5)","(20, -26)",3071
"(0, 22)","(-12, 64)","(-31, 88)","(78, -75)","(63, 94)","(0.0, -119.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -4)","(20, -26)",3107
"(0, 23)","(-12, 65)","(-31, 89)","(78, -74)","(63, 95)","(0.0, -118.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -3)","(20, -26)",3143
"(0, 24)","(-12, 66)","(-31, 90)","(78, -73)","(63, 96)","(0.0, -117.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -2)","(20, -26)",3179
"(0, 25)","(-12, 67)","(-31, 91)","(78, -72)","(63, 97)","(0.0, -116.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -1)","(20, -26)",3214
"(0, 26)","(-12, 68)","(-31, 92)","(78, -71)","(0.0, -115.0)","(63, 98)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 0)","(20, -26)",3250
"(0, 27)","(-12, 69)","(-31, 93)","(78, -70)","(0.0, -114.0)","(63, 99)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 1)","(20, -26)",3286
"(0, 28)","(-12, 70)","(-31, 94)","(78, -69)","(0.0, -113.0)","(63, 100)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 2)","(20, -26)",3321
"(0, 29)","(-12, 71)","(-31, 95)","(78, -68)","(0.0, -112.0)","(63, 101)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 3)","(20, -26)",3357
"(0, 30)","(-12, 72)","(-31, 96)","(78, -67)","(0.0, -111.0)","(63, 102)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 4)","(20, -26)",3393
"(0, 31)","(-12, 73)","(-31, 97)","(78, -66)","(0.0, -110.0)","(63, 103)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 5)","(20, -26)",3429
"(0, 32)","(-12, 74)","(78, -65)","(-31, 98)","(0.0, -109.0)","(63, 104)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 6)","(20, -26)",3464
"(0, 33)","(-12, 75)","(78, -64)","(-31, 99)","(0.0, -108.0)","(63, 105)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 7)","(20, -26)",3500
"(0, 34)","(-12, 76)","(78, -63)","(-31, 100)","(0.0, -107.0)","(63, 106)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 8)","(20, -26)",3536
"(0, 35)","(-12, 77)","(78, -62)","(-31, 101)","(0.0, -106.0)","(63, 107)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 9)","(20, -26)",3571
"(0, 36)","(-12, 78)","(78, -61)","(0.0, -105.0)","(-31, 102)","(63, 108)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 10)","(20, -26)",3607
"(0, 37)","(-12, 79)","(78, -60)","(0.0, -104.0)","(-31, 103)","(63, 109)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 11)","(20, -26)",3643
"(0, 38)","(-12, 80)","(78, -59)","(0.0, -103.0)","(-31, 104)","(63, 110)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 12)","(20, -26)",3679
"(0, 39)","(-12, 81)","(78, -58)","(0.0, -102.0)","(-31, 105)","(63, 111)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 13)","(20, -26)",3714
"(0, 40)","(-12, 82)","(78, -57)","(0.0, -101.0)","(-31, 106)","(0.0, -127.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 14)","(20, -26)",3750
"(0, 41)","(-12, 83)","(78, -56)","(0.0, -100.0)","(-31, 107)","(0.0, -126.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 15)","(20, -26)",3786
"(0, 42)","(-12, 84)","(78, -55)","(0.0, -99.0)","(-31, 108)","(0.0, -125.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 16)","(20, -26)",3821
"(0, 43)","(-12, 85)","(78, -54)","(0.0, -98.0)","(-31, 109)","(0.0, -124.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 17)","(20, -26)",3857
"(0, 44)","(-12, 86)","(78, -53)","(0.0, -97.0)","(-31, 110)","(0.0, -123.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 18)","(20, -26)",3893
"(0, 45)","(-12, 87)","(78, -52)","(0.0, -96.0)","(-31, 111)","(0.0, -122.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 19)","(20, -26)",3929
"(0, 46)","(-12, 88)","(78, -51)","(0.0, -95.0)","(-31, 112)","(0.0, -121.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 20)","(20, -26)",3964
"(0, 47)","(-12, 89)","(78, -50)","(0.0, -94.0)","(-31, 113)","(0.0, -120.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 21)","(20, -26)",4000
"(0, 48)","(-12, 90)","(78, -49)","(0.0, -93.0)","(-31, 114)","(0.0, -119.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 22)","(20, -26)",4037
"(0, 49)","(78, -48)","(-12, 91)","(0.0, -92.0)","(0.0, -118.0)","(-31, 115)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 23)","(20, -26)",4074
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4111
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4148
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4185
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4222
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4259
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4296
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4333
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4370
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4407
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4444
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4481
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4519
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4556
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4593
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4630
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4667
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4704
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4741
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4778
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4815
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4852
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4889
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4926
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",4963
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5000
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5036
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5071
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5107
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5143
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5179
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5214
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5250
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5286
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5321
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5357
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5393
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5429
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5464
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5500
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5536
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5571
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5607
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5643
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5679
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5714
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5750
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5786
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5821
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5857
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5893
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5929
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",5964
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6000
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6036
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6071
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6107
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6143
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6179
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6214
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6250
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6286
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6321
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6357
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6393
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6429
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6464
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6500
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6536
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6571
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6607
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6643
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6679
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6714
"(0, 50)","(0.0, -91.0)","(78, -47)","(-12, 92)","(0.0, -117.0)","(-31, 116)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, 24)","(20, -26)",6750
